
 ** NVTX Range Kernel Summary (nvtx_kern_sum):

+-------------------------------+---------+---------+---------+-----------+-----------+-----------------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|          NVTX Range           |  Style  |   PID   |   TID   | NVTX Inst | Kern Inst | Total Time (ns) |  Avg (ns)   |  Med (ns)   | Min (ns) | Max (ns)  | StdDev (ns) |                                             Kernel Name                                              |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |     207,475,489 |   192,106.9 |   191,867.0 |  191,323 |   243,673 |     3,491.5 | sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_sta… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |     159,820,548 |   147,982.0 |   147,772.0 |  147,004 |   190,170 |     2,865.6 | sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |     147,875,178 |   136,921.5 |   136,764.0 |  134,045 |   153,340 |     1,575.1 | void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)2, (int)4, (bool)0, cublasGemvT… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     4,320 |     143,480,551 |    33,213.1 |    30,719.0 |   24,255 |    60,767 |     8,066.1 | sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_warpsize2x2x1… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |    10,800 |      77,237,292 |     7,151.6 |     6,591.0 |    6,208 |    10,592 |       858.7 | void cudnn::bn_fw_tr_1C11_singleread_spec<__half2, (int)512, (int)1, (int)2, (int)0>(cudnn::bn_fw_t… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     4,320 |      67,672,507 |    15,664.9 |    15,647.0 |   15,199 |    20,512 |       341.7 | void cudnn::bn_fw_tr_1C11_singleread_spec<__half2, (int)512, (int)1, (int)2, (int)20>(cudnn::bn_fw_… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     2,160 |      39,654,179 |    18,358.4 |    18,304.0 |   17,791 |    23,807 |       413.8 | sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage5_warps… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |      38,713,344 |    35,845.7 |    36,095.0 |   31,103 |    45,983 |     1,146.8 | sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_war… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     2,160 |      32,143,770 |    14,881.4 |    15,439.5 |    5,471 |    30,975 |     9,172.1 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_3<xmma__5x_cudnn::im… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |       949 |      28,933,868 |    30,488.8 |    29,407.0 |   28,288 |   278,457 |    16,127.8 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |      20,101,506 |    18,612.5 |    18,591.0 |   18,431 |    23,999 |       360.0 | sm80_xmma_dgrad_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_warpsize2x2x1… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |      19,751,423 |    18,288.4 |    18,271.0 |   17,023 |    23,840 |       382.1 | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |       945 |      17,153,840 |    18,152.2 |    18,239.0 |   15,839 |    20,351 |       590.0 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::flip_kernel_impl<at::n… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |       945 |      16,188,206 |    17,130.4 |    17,536.0 |   15,487 |    22,815 |     1,551.3 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::flip_kernel_impl<at::n… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,080 |      13,599,354 |    12,592.0 |    12,575.0 |   12,384 |    16,543 |       272.0 | sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x128x32_stage5_warp… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |       270 |       8,932,993 |    33,085.2 |    32,959.0 |   23,295 |    42,815 |     8,963.7 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     2,160 |       8,425,107 |     3,900.5 |     3,904.0 |    3,744 |     4,992 |        82.9 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_1<xmma__5x_cudnn::im… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     1,360 |       7,410,991 |     5,449.3 |     5,632.0 |    1,664 |    25,632 |     2,091.6 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::Ten… |
